kepid,koi_disposition,kepler_name,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31
8043721,FALSE POSITIVE,,0.0,0.0,0.5434283,0.0,0.22815338,0.0,0.0,0.0,0.37045804,0.46159393,0.38699734,0.0,0.2661507,0.11468142,0.47728652,0.0,0.146464,0.0,0.0,0.3031707,0.45184982,0.0,0.0,0.5204885,0.0,0.32379472,0.45893776,0.49923557,0.44727734,0.0,0.0,0.26723477
6522824,FALSE POSITIVE,,0.0,0.0,0.9563634,0.0,0.6234621,0.0,0.0,0.0,0.8691832,0.689482,0.8938347,0.0,0.81763405,0.6779107,1.0380099,0.0,0.9887021,0.0,0.0,0.87208015,0.9424849,0.0,0.0,0.895164,0.0,0.6010601,1.0130076,1.0419481,0.80394447,0.0,0.0,0.54064584
4750341,FALSE POSITIVE,,0.0,0.0,1.273063,0.0,1.2902988,0.0,0.0,0.0,1.3652427,1.0984043,1.3635354,0.0,1.1122297,0.7055872,1.1929712,0.0,1.0421634,0.0,0.0,0.9543219,1.0028576,0.0,0.0,1.4487531,0.0,1.147118,1.1868476,1.3846284,1.3912523,0.0,0.0,0.9826467
9935642,CANDIDATE,,0.0,0.0,1.2557557,0.0,1.1795822,0.0,0.0,0.0,1.2561629,1.0228758,1.2092077,0.0,1.0889711,0.96105057,1.2027283,0.0,1.2868177,0.0,0.0,0.96170956,1.0395838,0.0,0.0,1.2772912,0.0,1.0174295,1.1262586,1.3854169,1.2433293,0.0,0.0,1.1277606
7285757,CONFIRMED,Kepler-1986 b,0.0,0.0,1.4243516,0.0,1.0497702,0.0,0.0,0.0,1.7674816,1.370573,1.1375104,0.0,1.3722017,1.8633994,1.8275014,0.0,0.9162684,0.0,0.0,1.1676527,1.1976795,0.0,0.0,1.1756048,0.0,1.1148201,2.0170555,2.2158127,1.6334419,0.0,0.0,1.8274848
7285757,CANDIDATE,Kepler-1986 b,0.015040632,0.37498355,0.0,0.026896495,0.0,0.3535401,0.6607912,0.0,0.042935032,0.0,0.33793122,0.48200995,0.0,0.0,0.09996974,0.2009323,0.0,0.0,0.60082847,0.05547223,0.0,0.49325454,0.10642957,0.2604056,0.0,0.09626811,0.019992046,0.100851715,0.48239642,0.5178251,0.20001757,0.0
5211922,FALSE POSITIVE,,0.0,0.0,0.5139995,0.0,0.0,0.0,0.0,0.0,0.5426086,0.43766344,0.37778616,0.0,0.5833099,0.39471716,0.14424764,0.0,0.272805,0.0,0.0069750175,0.59581715,0.24488494,0.0,0.0,0.4755817,0.0,0.4277447,0.44029534,0.1869186,0.64076513,0.0,0.0,0.3374062
5280587,CONFIRMED,Kepler-1451 b,1.131946,0.9569205,0.0,0.83966714,0.0,0.81945586,0.9350124,1.0792532,0.0,0.0,0.0,1.1118186,0.0,0.0,0.0,1.1488197,0.0,1.1257327,1.1242304,0.0,0.0,0.7707629,0.916074,0.0,1.2428493,0.0,0.0,0.0,0.0,0.88811225,1.1562665,0.0
8129005,FALSE POSITIVE,,0.0,0.0,1.366876,0.0,1.2000017,0.0,0.0,0.0,1.5394249,1.313776,1.3069992,0.0,1.2929142,1.765523,1.7233047,0.0,0.85152435,0.0,0.0,1.050988,0.9474348,0.0,0.0,0.89307374,0.0,1.1645918,1.5389416,1.938874,1.52369,0.0,0.0,1.511746
4840156,FALSE POSITIVE,,0.0,0.0,1.4086691,0.0,1.0324726,0.0,0.0,0.0,1.3642874,1.1281784,1.4013648,0.0,1.0827825,0.9868017,2.1973236,0.0,1.2311419,0.0,0.0,1.1862996,1.0279547,0.0,0.0,1.750091,0.0,1.2486016,1.3859446,2.3071713,1.4234827,0.0,0.0,1.1428012
